Symbol,Shares,Equity,Price,Average cost
AAPL,54.349473,"14,755.34",271.49,168.31
ABAT,"1,000","3,540.00",3.54,6.23
ACHR,"1,701.00","10,257.03",6.03,7.96
ADI,4.098898,"1,625.62",396.6,202.82
AEM,83.336429,"16,875.63",202.5,61.45
AFL,36.13201,"4,146.15",114.75,57.82
AFRM,100,"6,570.00",65.7,77.21
AGX,35.351577,"23,049.58",652.01,153.96
AI,150,"1,399.50",9.33,34.25
AMD,234,"70,639.92",301.88,154.39
AME,25.245515,"5,818.08",230.46,145.26
AMGN,7.330962,"2,526.84",344.68,277.04
AMZN,187,"47,350.27",253.21,169.83
ANET,40,"7,040.40",176.01,58.75
ANF,100,"9,160.00",91.6,111.36
APH,24.275835,"3,597.68",148.2,41.09
APP,10,"4,743.00",474.3,462.48
AVGO,100.97498,"42,291.35",418.83,182.43
BCI,80,"1,950.40",24.38,24.1
BDX,29.960609,"4,663.37",155.65,184.39
BLD,2,905.64,452.82,203.77
BLSH,77.90588,"3,342.16",42.9,64.18
BRK.B,21,"9,772.98",465.38,348.5
BRKR,29.202359,"1,163.42",39.84,65.67
BULL,10,71.4,7.14,41.05
CAT,8.163373,"6,579.76",806.01,369.78
CELH,38,"1,261.98",33.21,29.97
CHYM,150,"3,573.00",23.82,29.78
CMG,215,"7,516.40",34.96,57.16
CORZ,500,"10,460.00",20.92,17.52
COST,18.873105,"18,920.85","1,002.53","1,056.81"
CRM,50.08038,"9,096.60",181.64,245.83
CRWD,65,"29,477.50",453.5,387.53
CRWV,98.70693,"11,874.44",120.3,101.31
CVNA,90,"37,242.00",413.8,146.31
DASH,"2,000","361,060.00",180.53,3.85
DOCU,100,"4,709.00",47.09,97.28
DTE,54.633711,"7,843.76",143.57,109.36
DUK,68.548659,"8,597.37",125.42,93.5
DUOL,15,"1,560.00",104,306.25
ELV,7.205927,"2,363.47",327.99,500.09
ETHA,50,885,17.7,25.68
ETN,6.11392,"2,506.77",410.01,215.34
EXC,108.832962,"5,001.96",45.96,35.54
FCX,68.427403,"4,779.65",69.85,41.07
FE,50.982217,"2,459.89",48.25,38.63
FLEX,208,"18,150.08",87.26,27.99
FLY,25,"1,023.00",40.92,52.89
FRSH,700,"6,104.00",8.72,15.66
FSLR,20,"3,762.20",188.11,249.44
GEMI,50,233,4.66,27.74
GOOG,299.434707,"100,280.68",334.9,178.01
GOOGL,110.651061,"37,245.15",336.6,172.56
GPCR,150,"7,174.50",47.83,34.83
GS,3.091212,"2,869.29",928.21,501.42
GWW,1.012556,"1,145.32","1,131.12",726.99
HIMS,200,"5,660.00",28.3,32.9
HLI,10.419848,"1,673.84",160.64,89.99
HOLX^,18,,,0
HOOD,80,"6,924.00",86.55,50.33
HROW,30,"1,173.60",39.12,34.83
HXL,18.278752,"1,668.85",91.3,55.3
IBM,25.979189,"6,059.39",233.24,175.5
IDXX,5,"2,891.75",578.35,457.67
INOD,100,"4,679.00",46.79,39.05
IONQ,450,"20,934.00",46.52,32.04
IREN,200,"9,484.00",47.42,47.08
ISRG,7.9,"3,799.98",481.01,355.33
IWD,74.998483,"17,005.91",226.75,187.67
IWF,8.047124,"3,839.04",477.07,365.68
IWM,10.017754,"2,753.78",274.89,250.81
IWR,34.673299,"3,601.52",103.87,86.68
JCI,27.60225,"3,859.07",139.81,68.97
JNJ,69.966112,"15,833.33",226.3,155.23
JOBY,450,"4,068.00",9.04,5.97
JPM,42.03218,"13,114.04",312,127.74
KLAR,112,"1,659.84",14.82,46.37
KO,39.694542,"2,963.99",74.67,69.07
KR,79.396709,"5,399.77",68.01,47.26
LLY,11.116525,"10,186.52",916.34,480.69
LRCX,8,"2,155.68",269.46,261.77
LYFT,600,"8,628.00",14.38,22.28
MA,11.090714,"5,651.38",509.56,392.45
MARA,400,"4,656.00",11.64,7.01
MCK,3.018883,"2,508.75",831.02,359.62
MDT,23.075765,"1,927.98",83.55,89.92
META,147.684755,"98,938.45",669.93,551.73
MPWR,5.058812,"7,659.04","1,514.00",481.05
MRVL,100.314876,"15,814.64",157.65,111.77
MSFT,164.804536,"70,121.03",425.48,368.94
MSTR,16,"2,827.04",176.69,343.13
MU,100.612781,"48,177.42",478.84,103.54
NBIS,35,"5,392.45",154.07,55.99
NDSN,9.197337,"2,570.20",279.45,219.08
NEE,44.947907,"4,075.43",90.67,57.06
NEM,60.47586,"6,674.12",110.36,39.3
NFLX,330,"30,607.50",92.75,87.62
NOW,40,"3,592.00",89.8,192.45
NVDA,"1,262.53","254,210.15",201.35,132.84
ONDS,40,435.2,10.88,11.08
OPEN,250,"1,327.50",5.31,4.06
OPENL,8,3.4,0.43,0
OPENW,8,6.7,0.84,0
OPENZ,8,3.29,0.41,0
ORCL,122.879401,"22,442.69",182.64,262.74
OSCR,250,"4,047.50",16.19,20.44
OXY,101.073494,"5,797.58",57.36,48.09
PANW,16,"2,828.80",176.8,86.41
PATH,256,"2,731.52",10.67,16.78
PFE,234.136047,"6,277.19",26.81,27.97
PG,73.82765,"10,572.86",143.21,149.47
PGY,16.666667,238.17,14.29,13.15
PINS,250,"5,125.00",20.5,39.21
PLTR,150.99425,"22,628.00",149.86,114.93
PM,30.647712,"5,046.45",164.66,97.47
PNC,39.973894,"8,996.52",225.06,140.12
PWR,5.008031,"3,053.90",609.8,198.13
PYPL,159.854769,"8,128.62",50.85,72.46
QCOM,77.416384,"10,482.95",135.41,170.23
QUBT,"1,000","9,700.00",9.7,17.8
RDDT,358.06207,"57,823.44",161.49,169.54
REGN,3.021419,"2,255.40",746.47,716.75
RIO,5.443375,542.16,99.6,64.2
RIOT,500,"9,070.00",18.14,14.34
RKLB,20,"1,772.40",88.62,47.86
ROST,19.296484,"4,346.53",225.25,108.23
RTX,10.452898,"1,895.32",181.32,119.96
RVI,200,"5,948.00",29.74,25
SAIL,200,"2,450.00",12.25,23.01
SDCI,50,"1,390.50",27.81,26.8
SG,150,"1,008.00",6.72,34.93
SHOP,57,"7,386.06",129.58,134.19
TCEHY,10,645,64.5,67.67
TDY,6,"3,899.40",649.9,402.43
TEM,600,"32,640.00",54.4,34.72
TGT,52.887435,"6,888.59",130.25,121.99
TSM,54.790894,"20,678.08",377.4,165.44
TT,6.086114,"2,897.66",476.11,187.93
TTEK,55.58703,"1,793.24",32.26,28.42
TWLO,100,"14,965.00",149.65,94.33
UBER,227,"17,081.75",75.25,61.45
UNP,11.38718,"2,831.19",248.63,254.92
USAR,250,"6,157.50",24.63,31.95
V,13.143727,"4,074.56",310,205.16
VCX,10,919.6,91.96,256.65
VLTO,35.201059,"3,132.89",89,78.47
VOO,101.861518,"66,248.69",650.38,554.87
VRT,51.087498,"15,405.44",301.55,129.13
VST,50.432008,"7,827.05",155.2,119.02
VTI,133.133013,"46,503.36",349.3,286.49
VZ,41.010605,"1,886.08",45.99,35.65
WAB,16.117498,"4,215.05",261.52,124.3
WFC,58.887939,"4,739.30",80.48,50.05
WMT,161.312854,"20,943.25",129.83,74.76
WPM,82.748601,"11,886.01",143.64,48
WRB,28.026303,"1,893.18",67.55,42.81
WULF,500,"10,065.00",20.13,14.87
XOM,50.941672,"7,664.68",150.46,103.57
IBIT,554,"24567",45,40
ARM,65,"12764",196,59
BROS,70,"3846.5",54.95,0
LUNR,200,"5946",29.73,0
NU,18,"255.24",14.18,0
ARKX,200,"6716",33.58,0
